,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1214,WEST UTTAR PRADESH,1988.0,3.5,11.4,26.6,8.0,6.1,85.6,318.0,412.7,139.6,14.9,0.0,9.1,1035.6
1215,WEST UTTAR PRADESH,1989.0,24.6,1.1,15.4,0.0,1.6,88.5,132.1,222.0,153.6,0.4,4.1,14.0,657.3
1216,WEST UTTAR PRADESH,1990.0,0.0,67.5,9.2,0.7,29.8,45.9,334.2,195.9,250.4,3.7,3.5,17.4,958.0
1217,WEST UTTAR PRADESH,1991.0,2.9,18.9,7.5,2.9,2.7,44.8,108.6,406.2,124.7,0.0,7.9,21.7,748.7
1218,WEST UTTAR PRADESH,1992.0,14.2,9.7,4.0,0.3,7.9,25.9,196.9,306.1,179.4,67.4,8.9,0.0,820.6
1219,WEST UTTAR PRADESH,1993.0,3.7,13.5,21.2,1.0,15.2,82.0,156.6,136.9,326.8,15.1,0.1,0.0,771.9
1220,WEST UTTAR PRADESH,1994.0,24.0,17.3,0.0,12.4,6.5,72.5,364.3,290.2,19.7,0.0,0.0,0.1,806.8
1221,WEST UTTAR PRADESH,1995.0,30.1,11.2,7.9,3.7,0.0,72.2,188.3,389.2,122.1,0.1,0.2,1.9,826.8
1222,WEST UTTAR PRADESH,1996.0,24.8,55.8,2.7,0.4,3.7,86.1,210.3,350.4,170.7,36.2,0.0,0.0,941.2
1223,WEST UTTAR PRADESH,1997.0,3.8,0.7,2.4,19.2,22.8,79.9,235.7,34.6,24.0,7.5,3.2,11.4,445.2
1224,WEST UTTAR PRADESH,1998.0,3.3,8.1,23.5,9.0,10.4,71.4,273.4,343.7,84.2,39.6,0.7,0.0,867.2
1225,WEST UTTAR PRADESH,1999.0,19.3,1.1,0.0,0.0,8.3,66.3,215.1,180.5,261.6,33.4,0.1,0.7,786.4
1226,WEST UTTAR PRADESH,2000.0,8.8,22.9,1.7,2.1,23.6,143.0,251.2,238.9,79.1,0.0,0.0,0.0,771.4
1227,WEST UTTAR PRADESH,2001.0,2.5,2.3,2.6,12.0,29.6,164.4,282.0,122.1,26.7,16.3,1.1,0.1,661.7
1228,WEST UTTAR PRADESH,2002.0,16.8,37.6,2.0,0.7,21.5,29.0,29.6,252.3,218.1,6.7,0.4,10.5,625.2
1229,WEST UTTAR PRADESH,2003.0,18.6,40.4,2.5,4.4,5.9,74.1,315.6,214.2,356.6,0.7,0.8,13.6,1047.5
1230,WEST UTTAR PRADESH,2004.0,20.6,0.7,0.0,20.0,21.7,59.3,124.2,250.5,84.0,60.5,0.7,0.2,642.3
1231,WEST UTTAR PRADESH,2005.0,10.1,17.9,22.6,1.2,6.9,67.1,298.2,96.0,202.5,2.5,0.0,0.6,725.7
1232,WEST UTTAR PRADESH,2006.0,0.5,0.0,20.2,4.0,34.1,66.6,241.6,78.1,65.7,16.7,0.7,1.0,529.3
1233,WEST UTTAR PRADESH,2007.0,0.4,66.9,37.4,0.9,11.0,88.4,155.1,152.2,57.0,1.8,0.0,1.4,572.5
1234,WEST UTTAR PRADESH,2008.0,0.9,0.2,0.0,4.0,24.8,193.8,258.5,217.4,90.9,5.1,4.0,0.0,799.8
1235,WEST UTTAR PRADESH,2009.0,1.3,3.9,1.2,8.7,12.8,17.1,118.3,184.5,125.4,59.3,13.9,2.8,549.2
1236,WEST UTTAR PRADESH,2010.0,3.2,13.7,0.2,0.4,9.3,12.5,282.0,213.8,263.9,4.7,12.8,4.1,820.7
1237,WEST UTTAR PRADESH,2011.0,2.1,10.4,3.9,2.8,29.6,175.9,215.9,232.3,101.7,0.7,0.5,1.5,777.4
1238,WEST UTTAR PRADESH,2012.0,14.5,0.1,1.4,4.7,0.3,4.0,145.1,149.1,67.8,0.5,0.1,2.0,389.6
1239,WEST UTTAR PRADESH,2013.0,20.4,69.5,3.5,1.6,2.1,190.6,233.9,287.1,52.2,61.2,1.7,8.9,932.8
1240,WEST UTTAR PRADESH,2014.0,48.3,29.4,22.6,5.3,11.0,22.0,151.6,81.0,84.7,14.6,0.0,16.3,486.9
1241,WEST UTTAR PRADESH,2015.0,31.6,7.2,66.8,21.0,8.1,72.0,194.2,143.5,26.5,6.9,2.0,3.0,582.7
